City,Country,Local_Time,Temperature,Temperature_F
Accra,Ghana,Thu 5:00 am,77 °F,77
Edmonton,Canada,Wed 11:00 pm,61 °F,61
Nassau,Bahamas,Thu 1:00 am,82 °F,82
Addis Ababa,Ethiopia,Thu 8:00 am,57 °F,57
Frankfurt,Germany,Thu 7:00 am,64 °F,64
New Delhi,India,Thu 10:30 am,86 °F,86
Adelaide,Australia,Thu 2:30 pm,68 °F,68
Guatemala City,Guatemala,Wed 11:00 pm,72 °F,72
New Orleans,Usa,Thu 12:00 midnight,85 °F,85
Algiers,Algeria,Thu 6:00 am,86 °F,86
Halifax,Canada,Thu 2:00 am,63 °F,63
New York,Usa,Thu 1:00 am,73 °F,73
Almaty,Kazakstan,Thu 10:00 am,77 °F,77
Hanoi,Vietnam,Thu 12:00 noon,90 °F,90
Oslo,Norway,Thu 7:00 am,54 °F,54
Amman,Jordan,Thu 8:00 am,77 °F,77
Harare,Zimbabwe,Thu 7:00 am,50 °F,50
Ottawa,Canada,Thu 1:00 am,63 °F,63
Amsterdam,Netherlands,Thu 7:00 am,61 °F,61
Havana,Cuba,Thu 1:00 am,75 °F,75
Paris,France,Thu 7:00 am,66 °F,66
Anadyr,Russia,Thu 5:00 pm,49 °F,49
Helsinki,Finland,Thu 8:00 am,48 °F,48
Perth,Australia,Thu 1:00 pm,57 °F,57
Anchorage,Usa,Wed 9:00 pm,61 °F,61
Hong Kong,Hong Kong,Thu 1:00 pm,86 °F,86
Philadelphia,Usa,Thu 1:00 am,74 °F,74
Ankara,Turkey,Thu 8:00 am,64 °F,64
Honolulu,Usa,Wed 7:00 pm,82 °F,82
Phoenix,Usa,Wed 10:00 pm,107 °F,107
Antananarivo,Madagascar,Thu 8:00 am,57 °F,57
Houston,Usa,Thu 12:00 midnight,84 °F,84
Prague,Czech Republic,Thu 7:00 am,55 °F,55
Asuncion,Paraguay,Thu 2:00 am,75 °F,75
Indianapolis,Usa,Thu 1:00 am,68 °F,68
Reykjavik,Iceland,Thu 5:00 am,48 °F,48
Athens,Greece,Thu 8:00 am,80 °F,80
Islamabad,Pakistan,Thu 10:00 am,84 °F,84
Rio de Janeiro,Brazil,Thu 2:00 am,72 °F,72
Atlanta,Usa,Thu 1:00 am,74 °F,74
Istanbul,Turkey,Thu 8:00 am,75 °F,75
Riyadh,Saudi Arabia,Thu 8:00 am,90 °F,90
Auckland,New Zealand,Thu 5:00 pm,63 °F,63
Jakarta,Indonesia,Thu 12:00 noon,89 °F,89
Rome,Italy,Thu 7:00 am,79 °F,79
Baghdad,Iraq,Thu 8:00 am,86 °F,86
Jerusalem,Israel,Thu 8:00 am,74 °F,74
Salt Lake City,Usa,Wed 11:00 pm,83 °F,83
Bangkok,Thailand,Thu 12:00 noon,90 °F,90
Johannesburg,South Africa,Thu 7:00 am,54 °F,54
San Francisco,Usa,Wed 10:00 pm,64 °F,64
Barcelona,Spain,Thu 7:00 am,81 °F,81
Karachi,Pakistan,Thu 10:00 am,84 °F,84
San Juan,Puerto Rico,Thu 1:00 am,83 °F,83
Beijing,China,Thu 1:00 pm,84 °F,84
Kathmandu,Nepal,Thu 10:45 am,81 °F,81
San Salvador,El Salvador,Wed 11:00 pm,79 °F,79
Belgrade,Serbia,Thu 7:00 am,64 °F,64
Kingston,Jamaica,Thu 12:00 midnight,85 °F,85
Santiago,Chile,Thu 1:00 am,50 °F,50
Bengaluru,India,Thu 10:30 am,79 °F,79
Kinshasa,Congo Demrep,Thu 6:00 am,73 °F,73
Santo Domingo,Dominican Republic,Thu 1:00 am,83 °F,83
Berlin,Germany,Thu 7:00 am,57 °F,57
Kiritimati,Kiribati,Thu 7:00 pm,84 °F,84
São Paulo,Brazil,Thu 2:00 am,66 °F,66
Bogota,Colombia,Thu 12:00 midnight,57 °F,57
Kolkata,India,Thu 10:30 am,91 °F,91
Seattle,Usa,Wed 10:00 pm,72 °F,72
Boston,Usa,Thu 1:00 am,70 °F,70
Kuala Lumpur,Malaysia,Thu 1:00 pm,90 °F,90
Seoul,South Korea,Thu 2:00 pm,90 °F,90
Brasilia,Brazil,Thu 2:00 am,72 °F,72
Kuwait City,Kuwait,Thu 8:00 am,91 °F,91
Shanghai,China,Thu 1:00 pm,90 °F,90
Brisbane,Australia,Thu 3:00 pm,75 °F,75
Kyiv,Ukraine,Thu 8:00 am,58 °F,58
